epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.086,1.12307,2.46166,1.48527,0.78354,0.52407,0.55974,0.43528,1.10472,2.77328,1.42434,0.000416216,0.000416216,0.000416216
2,371.034,1.15838,1.9119,1.46696,0.50252,0.6616,0.64467,0.4434,1.16241,3.52962,1.38916,0.000812269,0.000812269,0.000812269
3,619.889,1.15291,1.63244,1.46036,0.44033,0.77024,0.66882,0.43091,1.27518,5.0924,1.55209,0.0011877,0.0011877,0.0011877
4,864.93,1.11412,1.43304,1.41129,0.51545,0.75542,0.63634,0.43037,1.15949,2.65549,1.38098,0.00115719,0.00115719,0.00115719
5,1113.02,1.08717,1.27556,1.38104,0.74453,0.74643,0.8175,0.53423,1.12617,1.49644,1.32163,0.00112625,0.00112625,0.00112625
6,1362.06,1.03572,1.15951,1.34471,0.5932,0.80966,0.7465,0.54706,1.04859,1.83237,1.31897,0.00109531,0.00109531,0.00109531
7,1616.1,0.99548,1.06134,1.31221,0.78245,0.75446,0.78352,0.59227,0.90803,1.28304,1.2166,0.00106437,0.00106437,0.00106437
8,1869.62,0.94476,0.9897,1.27666,0.70533,0.87447,0.81855,0.62646,0.93939,1.24824,1.21162,0.00103344,0.00103344,0.00103344
9,2125.93,0.91245,0.9165,1.24761,0.73599,0.77813,0.80501,0.60804,0.99575,1.40787,1.22095,0.0010025,0.0010025,0.0010025
10,2373.68,0.91667,0.88579,1.24053,0.64283,0.8123,0.76877,0.57016,0.99991,1.31411,1.24684,0.000971562,0.000971562,0.000971562
11,2628.88,0.86525,0.83531,1.21128,0.71941,0.62149,0.70444,0.53629,0.96185,1.19987,1.21545,0.000940625,0.000940625,0.000940625
12,2885.36,0.84424,0.82479,1.20896,0.65731,0.81486,0.81975,0.65045,0.81732,1.47694,1.14014,0.000909688,0.000909688,0.000909688
13,3140.81,0.82325,0.76,1.18289,0.6581,0.85728,0.73763,0.60647,0.94513,1.12949,1.23198,0.00087875,0.00087875,0.00087875
14,3389.8,0.78729,0.74358,1.15955,0.71999,0.90225,0.80848,0.6233,0.84863,1.42836,1.15995,0.000847813,0.000847813,0.000847813
15,3635.09,0.76833,0.6969,1.15516,0.62978,0.83441,0.80979,0.63469,0.89394,1.30635,1.18688,0.000816875,0.000816875,0.000816875
16,3891.13,0.76509,0.68124,1.14902,0.74224,0.89604,0.86036,0.71258,0.70735,0.92003,1.08429,0.000785938,0.000785938,0.000785938
17,4143.45,0.7372,0.6401,1.12829,0.76724,0.80873,0.83811,0.64043,0.86527,1.5326,1.16728,0.000755,0.000755,0.000755
18,4397.09,0.73961,0.61196,1.13531,0.74591,0.82024,0.84018,0.68729,0.8111,1.02626,1.14781,0.000724062,0.000724062,0.000724062
19,4649.78,0.73043,0.60765,1.13041,0.72255,0.83538,0.74766,0.60783,0.81045,1.03691,1.1154,0.000693125,0.000693125,0.000693125
20,4902.21,0.68759,0.57357,1.09857,0.80209,0.89619,0.8436,0.69642,0.79866,1.02065,1.12033,0.000662188,0.000662188,0.000662188
21,5155.09,0.68981,0.53652,1.09523,0.85266,0.81098,0.84306,0.68385,0.76549,1.16017,1.14898,0.00063125,0.00063125,0.00063125
22,5406.87,0.67482,0.55433,1.08507,0.77585,0.7967,0.82554,0.68173,0.7413,1.18015,1.13883,0.000600313,0.000600313,0.000600313
23,5658.15,0.6465,0.53505,1.0696,0.82089,0.86127,0.85724,0.70542,0.73887,0.93466,1.07894,0.000569375,0.000569375,0.000569375
24,5914.99,0.62993,0.49571,1.07092,0.77761,0.81602,0.82464,0.71519,0.63152,1.0341,1.01948,0.000538438,0.000538438,0.000538438
25,6167.6,0.64618,0.50885,1.06928,0.77839,0.85728,0.84034,0.69374,0.72743,0.95065,1.12085,0.0005075,0.0005075,0.0005075
26,6424.5,0.60659,0.46907,1.052,0.74824,0.7998,0.80264,0.68332,0.65941,1.01278,1.03805,0.000476562,0.000476562,0.000476562
27,6673.09,0.58965,0.45079,1.03913,0.7688,0.84915,0.86175,0.74533,0.68249,1.04262,1.06094,0.000445625,0.000445625,0.000445625
28,6928.26,0.59332,0.43976,1.03042,0.85201,0.89299,0.85857,0.72243,0.63121,1.02396,1.02954,0.000414688,0.000414688,0.000414688
29,7183.07,0.58439,0.43669,1.03423,0.84036,0.80172,0.85927,0.695,0.76111,1.06372,1.08647,0.00038375,0.00038375,0.00038375
30,7439.61,0.56163,0.41823,1.01572,0.74665,0.89607,0.81849,0.68183,0.67778,0.96212,1.07165,0.000352812,0.000352812,0.000352812
31,7695.54,0.54688,0.42838,1.02169,0.8566,0.83876,0.87786,0.74138,0.61008,0.775,1.00381,0.000321875,0.000321875,0.000321875
32,7953.77,0.53256,0.40141,1.00483,0.8415,0.8295,0.87571,0.75952,0.60806,0.84599,0.99804,0.000290937,0.000290937,0.000290937
33,8217.43,0.52718,0.39959,1.0119,0.77784,0.89687,0.88298,0.74363,0.61221,0.9014,1.00792,0.00026,0.00026,0.00026
34,8473.89,0.5154,0.38435,0.99873,0.81918,0.89299,0.85833,0.73907,0.59739,0.91777,0.99559,0.000229063,0.000229063,0.000229063
35,8731.56,0.51244,0.38194,0.98484,0.83274,0.8045,0.846,0.71566,0.61187,0.95764,1.00636,0.000198125,0.000198125,0.000198125
36,8989.82,0.51016,0.37482,0.99568,0.8323,0.84163,0.85281,0.73891,0.57937,0.8371,0.98228,0.000167188,0.000167188,0.000167188
37,9244.4,0.48452,0.36084,0.98121,0.82249,0.84285,0.83386,0.71165,0.61452,0.83879,1.00694,0.00013625,0.00013625,0.00013625
38,9495.05,0.48131,0.36394,0.98479,0.83291,0.83876,0.82061,0.69803,0.56374,0.84642,0.96949,0.000105312,0.000105312,0.000105312
39,9749.53,0.45806,0.33988,0.96714,0.81412,0.83876,0.81507,0.70139,0.54135,0.88885,0.96007,7.4375e-05,7.4375e-05,7.4375e-05
40,10004.2,0.45904,0.34064,0.97198,0.79293,0.83876,0.82767,0.70553,0.56927,0.86183,0.97555,4.34375e-05,4.34375e-05,4.34375e-05
