epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.394,1.14648,2.44387,1.50319,0.76002,0.57037,0.59426,0.45406,1.11781,2.94225,1.3629,0.000416216,0.000416216,0.000416216
2,427.954,1.14515,1.90152,1.4664,0.5061,0.55287,0.54857,0.39785,1.09722,2.12058,1.3401,0.000812269,0.000812269,0.000812269
3,694.566,1.14729,1.64504,1.45759,0.54101,0.67897,0.64572,0.42963,1.17752,2.58516,1.44375,0.0011877,0.0011877,0.0011877
4,965.639,1.12737,1.46889,1.41917,0.60356,0.7675,0.66543,0.48644,1.22933,1.98441,1.43305,0.00115719,0.00115719,0.00115719
5,1235.84,1.08216,1.25543,1.38383,0.65398,0.60728,0.59742,0.4435,1.15098,1.91561,1.39598,0.00112625,0.00112625,0.00112625
6,1502.12,1.02287,1.1753,1.34364,0.48194,0.65384,0.58865,0.41715,1.0783,1.54646,1.35948,0.00109531,0.00109531,0.00109531
7,1766.12,1.0217,1.09439,1.33854,0.77785,0.68723,0.80184,0.57438,1.06437,1.36639,1.35141,0.00106437,0.00106437,0.00106437
8,2029.24,0.96563,0.99762,1.28723,0.64066,0.81418,0.77384,0.54512,1.05819,1.22078,1.27437,0.00103344,0.00103344,0.00103344
9,2295.7,0.92892,0.91955,1.26969,0.63254,0.70875,0.72051,0.52912,1.01176,1.44953,1.24653,0.0010025,0.0010025,0.0010025
10,2565.4,0.89298,0.87865,1.25133,0.61042,0.74749,0.73618,0.55062,0.9956,1.42402,1.25243,0.000971562,0.000971562,0.000971562
11,2837.69,0.86991,0.8182,1.2156,0.71608,0.80304,0.76292,0.60853,0.88367,1.11271,1.2064,0.000940625,0.000940625,0.000940625
12,3104.12,0.83779,0.80919,1.19249,0.69704,0.69701,0.70603,0.51894,0.97398,1.32984,1.21575,0.000909688,0.000909688,0.000909688
13,3369.11,0.83174,0.75398,1.20753,0.75916,0.77691,0.78913,0.60663,0.87145,1.15207,1.15288,0.00087875,0.00087875,0.00087875
14,3635.76,0.81391,0.73006,1.18651,0.65857,0.75317,0.78333,0.63264,0.82512,1.33287,1.11425,0.000847813,0.000847813,0.000847813
15,3903.42,0.78246,0.6985,1.16414,0.63887,0.72526,0.69787,0.5869,0.89819,1.29393,1.24062,0.000816875,0.000816875,0.000816875
16,4168.55,0.75143,0.66031,1.14895,0.67472,0.77394,0.73459,0.60239,0.84633,1.48396,1.16812,0.000785938,0.000785938,0.000785938
17,4434.77,0.73558,0.6501,1.1359,0.79941,0.80311,0.82556,0.62474,0.83615,1.08841,1.13333,0.000755,0.000755,0.000755
18,4704.55,0.70832,0.61725,1.11047,0.72234,0.78476,0.77799,0.61968,0.81044,1.12202,1.13532,0.000724062,0.000724062,0.000724062
19,4967.15,0.71179,0.60618,1.11229,0.87398,0.79639,0.82247,0.63325,0.91013,1.03888,1.15956,0.000693125,0.000693125,0.000693125
20,5234.3,0.70216,0.56993,1.09243,0.69463,0.81391,0.78025,0.63264,0.80147,1.18088,1.1,0.000662188,0.000662188,0.000662188
21,5500.81,0.66004,0.53655,1.0817,0.77477,0.77697,0.78047,0.67344,0.74593,1.07271,1.0846,0.00063125,0.00063125,0.00063125
22,5768.26,0.65248,0.53188,1.07823,0.76447,0.77609,0.80206,0.65434,0.85217,1.17694,1.16718,0.000600313,0.000600313,0.000600313
23,6037.54,0.63785,0.52678,1.06661,0.67375,0.90225,0.82698,0.68306,0.78605,1.05122,1.09288,0.000569375,0.000569375,0.000569375
24,6308.74,0.63687,0.51058,1.05468,0.70448,0.80595,0.80108,0.64574,0.79935,1.16367,1.14255,0.000538438,0.000538438,0.000538438
25,6574.25,0.61492,0.50079,1.0499,0.77248,0.77928,0.83559,0.66281,0.77763,1.08257,1.11674,0.0005075,0.0005075,0.0005075
26,6840.44,0.59794,0.47668,1.04553,0.80748,0.81098,0.82464,0.66977,0.76187,0.90437,1.09383,0.000476562,0.000476562,0.000476562
27,7109.66,0.58042,0.45678,1.02722,0.84706,0.78389,0.8567,0.67857,0.78498,0.92259,1.08897,0.000445625,0.000445625,0.000445625
28,7374.48,0.56625,0.44482,1.02375,0.71934,0.75594,0.77858,0.65044,0.69963,1.09953,1.01665,0.000414688,0.000414688,0.000414688
29,7641.97,0.55896,0.4444,1.02618,0.73915,0.83876,0.76489,0.64491,0.69134,1.05189,1.03863,0.00038375,0.00038375,0.00038375
30,7908.58,0.56061,0.42061,1.01729,0.79316,0.86653,0.82939,0.70722,0.73772,0.86135,1.07136,0.000352812,0.000352812,0.000352812
31,8174.29,0.54088,0.40953,0.99988,0.79805,0.80239,0.84318,0.67531,0.76317,0.88911,1.08339,0.000321875,0.000321875,0.000321875
32,8437.66,0.53682,0.41586,0.99923,0.8165,0.8045,0.81898,0.66456,0.74551,0.94013,1.08882,0.000290937,0.000290937,0.000290937
33,8706.05,0.51687,0.3998,0.98714,0.72952,0.84382,0.81762,0.67504,0.79564,0.90702,1.12282,0.00026,0.00026,0.00026
34,8970.35,0.51047,0.39579,0.9879,0.77416,0.8516,0.86088,0.73478,0.72911,0.88656,1.07597,0.000229063,0.000229063,0.000229063
35,9236.06,0.51086,0.37492,0.99445,0.77479,0.78784,0.81762,0.6831,0.69085,0.9041,1.04263,0.000198125,0.000198125,0.000198125
36,9505.36,0.48528,0.3691,0.97727,0.77628,0.84145,0.84877,0.69789,0.75152,0.82741,1.10894,0.000167188,0.000167188,0.000167188
37,9771.55,0.48347,0.35934,0.97404,0.73944,0.848,0.82573,0.67954,0.75325,0.84764,1.06783,0.00013625,0.00013625,0.00013625
38,10040.6,0.46829,0.35557,0.96325,0.7435,0.87358,0.81773,0.69382,0.69751,0.87335,1.02963,0.000105312,0.000105312,0.000105312
39,10313.7,0.45851,0.34014,0.97362,0.76872,0.86097,0.83695,0.71446,0.64778,0.84887,1.007,7.4375e-05,7.4375e-05,7.4375e-05
40,10582.1,0.44649,0.34243,0.96116,0.78924,0.81732,0.83794,0.70946,0.70316,0.84534,1.04662,4.34375e-05,4.34375e-05,4.34375e-05
